Date,Open,High,Low,Close,Volume
4/2/15,125.03,125.56,124.19,125.32,32220131
4/6/15,124.47,127.51,124.33,127.35,37193975
4/7/15,127.64,128.12,125.98,126.01,35012268
4/8/15,125.85,126.4,124.97,125.6,37329243
4/9/15,125.85,126.58,124.66,126.56,32483974
4/10/15,125.95,127.21,125.26,127.1,40187953
4/13/15,128.37,128.57,126.61,126.85,36365123
4/14/15,127,127.29,125.91,126.3,25524593
4/15/15,126.41,127.13,126.01,126.78,28970419
4/16/15,126.28,127.1,126.11,126.17,28368987
4/17/15,125.55,126.14,124.46,124.75,51957046
4/20/15,125.57,128.12,125.17,127.6,47054310
4/21/15,128.1,128.2,126.67,126.91,32435057
4/22/15,126.99,128.87,126.32,128.62,37654505
4/23/15,128.3,130.42,128.14,129.67,45770902
4/24/15,130.49,130.63,129.23,130.28,44525905
4/27/15,132.31,133.13,131.15,132.65,96954207
4/28/15,134.46,134.54,129.57,130.56,118923970
4/29/15,130.16,131.59,128.3,128.64,63386083
4/30/15,128.64,127.88,124.58,125.15,83195423
5/1/15,126.1,130.13,125.3,128.95,58512638
5/4/15,129.5,130.57,128.26,128.7,50988278
5/5/15,128.15,128.45,125.78,125.8,49271416
5/6/15,126.56,126.75,123.36,125.01,72141010
5/7/15,124.77,126.08,124.02,125.26,43940895
5/8/15,126.68,127.62,126.11,127.62,55550382
5/11/15,127.39,127.56,125.62,126.32,42035757
5/12/15,125.6,126.88,124.82,125.86,48160032
5/13/15,126.15,127.19,125.87,126.01,34694235
5/14/15,127.41,128.95,127.16,128.95,45203456
5/15/15,129.07,129.49,128.21,128.77,38208034
5/18/15,128.38,130.72,128.36,130.19,50882918
5/19/15,130.69,130.88,129.64,130.07,44633240
5/20/15,130,130.98,129.34,130.06,36454932
5/21/15,130.07,131.63,129.83,131.39,39730364
5/22/15,131.6,132.97,131.4,132.54,45595972
5/26/15,132.6,132.91,129.12,129.62,70697560
5/27/15,130.34,132.26,130.05,132.04,45833246
5/28/15,131.86,131.95,131.1,131.78,30733309
5/29/15,131.23,131.45,129.9,130.28,50884452
6/1/15,130.28,131.39,130.05,130.54,32112797
6/2/15,129.86,130.66,129.32,129.96,33667627
6/3/15,130.66,130.94,129.9,130.12,30983542
6/4/15,129.58,130.58,128.91,129.36,38450118
6/5/15,129.5,129.69,128.36,128.65,35626800
6/8/15,128.9,129.21,126.83,127.8,52674786
6/9/15,126.7,128.08,125.62,127.42,56075420
6/10/15,127.92,129.34,127.85,128.88,39087250
6/11/15,129.18,130.18,128.48,128.59,35390887
6/12/15,128.18,128.33,127.11,127.17,36886246
6/15/15,126.1,127.24,125.71,126.92,43988946
6/16/15,127.03,127.85,126.37,127.6,31494131
6/17/15,127.72,127.88,126.74,127.3,32918071
6/18/15,127.23,128.31,127.22,127.88,35407220
6/19/15,127.71,127.82,126.4,126.6,54716887
6/22/15,127.49,128.06,127.08,127.61,34039345
6/23/15,127.48,127.61,126.88,127.03,30268863
6/24/15,127.21,129.8,127.12,128.11,55280855
6/25/15,128.86,129.2,127.5,127.5,31938100
6/26/15,127.67,127.99,126.51,126.75,44066841
6/29/15,125.46,126.47,124.48,124.53,49161427
6/30/15,125.57,126.12,124.86,125.42,44370682
7/1/15,126.9,126.94,125.99,126.6,30238811
7/2/15,126.43,126.69,125.77,126.44,27210952
7/6/15,124.94,126.23,124.85,126,28060431
7/7/15,125.89,126.15,123.77,125.69,46946811
